url,title,partner,enroll,rating,level,duration,skills,reviews
https://www.coursera.org/learn/zhuangzi2,莊子─人情 (Zhuangzi─Between People),National Taiwan University,"8,128",5.0,Beginner level,2 weeks to complete,"Adaptability, Resilience, Emotional Intelligence, Lifelong Learning, Personal Development, Self-Awareness, Open Mindset, Liberal Arts, Stress Management, Curiosity, Cognitive flexibility, Relationship Building, Mindfulness",47
https://www.coursera.org/learn/making-architecture,Making Architecture,IE Business School,"157,623",4.8,Beginner level,1 week at 10 hours a week,"Storytelling, Empathy, Cultural Responsiveness, Creative Design, Architectural Design, Critical Thinking and Problem Solving, Curiosity, Design Elements And Principles, Collaboration, Teamwork, Brainstorming, Creative Problem-Solving, Design Strategies, Design Thinking, Creativity, Creative Thinking","1,445"
https://www.coursera.org/learn/valle-de-los-reyes,El Valle de los Reyes,Universitat Autònoma de Barcelona,"17,308",4.9,Beginner level,2 weeks at 10 hours a week,"Research Methodologies, World History, Architecture and Construction, Art History, Culture, Ancient History, Environmental Resource Management",410
https://www.coursera.org/learn/web-design-wireframes-prototypes,Web Design: Wireframes to Prototypes,California Institute of the Arts,"79,967",4.9,Intermediate level,3 weeks at 10 hours a week,"Design Reviews, User Interface and User Experience (UI/UX) Design, Web Design, Graphic and Visual Design, User Experience Design, Prototyping, Responsive Web Design, Wireframing, HTML and CSS, Typography, Mockups",909
https://www.coursera.org/learn/how-to-draw-a-beginners-guide-pt-3--drawing-in-practice,How to Draw: A Beginner’s Guide Pt 3 – Drawing in Practice,Skillshare,,,,,"Design Elements And Principles, Creativity",
https://www.coursera.org/learn/write-poetry,"Write Dreamy, Heartfelt Poetry - Creative Writing",Alex Genadinik,,,,,"Editing, Empathy & Emotional Intelligence, Music, Storytelling, Digital Publishing, Writing, Aesthetics, Creativity",
https://www.coursera.org/learn/correccin-de-color-en-davinci-resolve-practico,Corrección de Color en DaVinci Resolve Segunda Parte,SAE Institute México,,,Intermediate level,,"Video Editing, Image Quality, Data Import/Export, Post-Production, File Management, Color Matching, Video Production, Timelines",
https://www.coursera.org/learn/introduction-to-3d-with-nomad-sculpt,Introduction to 3D with Nomad Sculpt,Skillshare,,,Beginner level,,"3D Modeling, 3D Assets, User Interface (UI), Computer Graphics, Visualization (Computer Graphics), Animation and Game Design, Data Import/Export",
https://www.coursera.org/learn/the-art-of-film-editing-color--visual-storytelling,The Art of Film Editing: Color & Visual Storytelling,Skillshare,,,Beginner level,,"Post-Production, Storytelling, Editing, Color Theory, Video Production, Adobe Premiere, Cinematography, Video Editing",
https://www.coursera.org/learn/photo-composition,Principles of Photo Composition and Digital Image Post-Production,Michigan State University,"86,325",4.7,"Welcome to Course THREE!  In the first two Modules you will gain a more professional-level understanding of the Design Elements that artists have used throughout history to create successful compositions.  Arranging the Elements in ways that lead viewers through their compositions is an essential craft for photographers no matter whether their subject matter is pure documentary or vividly exotic personal expression.  In Modules 3 & 4 we survey the essential elements of post-photography image management, using Adobe(tm) LIGHTROOM(tm).  Image adjustment software designed for Smartphone photographers rounds out the Course.  Since even photographers whose mainstay is a high-end DSLR also must admit to Smartphone use occasionally, and photographers who only use a Smartphone will usually admit that they want to step over to a ""regular"" camera at some point, there is something for everyone here!  Let's get started with Module One!",2 weeks to complete,"Photography, Image Quality, File Management, Storytelling, Creative Design, Photo Editing, Photo/Video Production and Technology, Design Elements And Principles, Graphic and Visual Design","1,300"
https://www.coursera.org/learn/produce--write-in-ableton-live-write-music-in-any-genre,Produce & Write in Ableton Live: Write Music in Any Genre,Skillshare,,,Beginner level,,"Media Production, Music Theory, Instrumental Music, Creativity, Musical Composition, Music",
https://www.coursera.org/learn/storytelling-y-medios-digitales,Storytelling y medios digitales,SAE Institute México,"2,826",4.6,Beginner level,,"Content Creation, Digital Content, Storyboarding, Writing, Technical Writing, Scripting, Digital Media Strategy, Storytelling, Multimedia, Digital Communications",48
https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-6,Exploring Beethoven's Piano Sonatas Part 6,Curtis Institute of Music,"2,634",5.0,Intermediate level,,"Musical Composition, Music Theory, Music History, Music Performance, Classical Music",12
https://www.coursera.org/learn/get-started-with-procreate-dreams-animation-for-everyone,Get Started with Procreate Dreams: Animation for Everyone,Skillshare,,,Beginner level,,"Photo/Video Production and Technology, Timelines, Animations, Motion Graphics, Multimedia, Storyboarding, Storytelling",
https://www.coursera.org/learn/historia-arte-barroco-posmoderno,Historia del Arte: Del Barroco al Arte Posmoderno,Universidad de Palermo,"18,222",4.6,Beginner level,2 weeks at 10 hours a week,"European History, World History, Aesthetics, Art History, Timelines, Design Elements And Principles, Culture",194
https://www.coursera.org/learn/introduction-to-italian-opera,Introduction to Italian Opera,Dartmouth College,"1,692",,,3 weeks to complete,"Performing Arts, Music, Music Performance, Musical Composition, Music History, Classical Music, Music Theory",
https://www.coursera.org/learn/habilidades-de-pensamiento-y-solucion-de-problemas,Habilidades de pensamiento y solución de problemas,Tecnológico de Monterrey,"1,736",4.2,Beginner level,2 weeks to complete,"Analytical Skills, Collaboration, Decision Making, Systems Thinking, Cognitive flexibility, Complex Problem Solving, Critical Thinking, Creative Thinking, Open Mindset",15
https://www.coursera.org/learn/skepticism,Skepticism,"University of California, Irvine","12,518",4.7,Beginner level,2 weeks to complete,"Ethical Standards And Conduct, Liberal Arts, Policy Analysis, Science and Research, Discussion Facilitation, Social Justice, Research",86
https://www.coursera.org/learn/how-to-understand-our-emotions-seonghos-new-proposal-1,How to Understand Our Emotions: Seongho's New Proposal 1,Sungkyunkwan University,,,Advanced level,2 weeks to complete,"Ethical Standards And Conduct, Decision Making, Empathy, Self-Awareness, Compassion, Psychology, Emotional Intelligence, Critical Thinking, Cultural Sensitivity",
https://www.coursera.org/specializations/art-for-games,Art for Games  Specialization,Michigan State University,"17,485",4.5,Beginner level,4 weeks to complete,"3D Assets, 3D Modeling, Animation and Game Design, Animations, Color Theory, Computer Graphic Techniques, Computer Graphics, Conceptual Design, Data Import/Export, Design, Design Elements And Principles, Design Research, Game Design, Graphic and Visual Design, Prototyping, Storyboarding, Video Game Development",430
https://www.coursera.org/learn/adobe-lightroom-essentials-pt-1-editing-color-basics,Adobe Lightroom Essentials Pt. 1: Editing & Color Basics,Skillshare,,,Beginner level,,"Data Import/Export, Color Theory, Photography, Photo Editing, Editing, Image Quality",
https://www.coursera.org/learn/produccionycomposicion,Producción Musical y su Efecto en la Composición,Berklee,"32,774",4.9,,2 weeks to complete,"Media Production, Musical Composition, Editing, Creativity, Instrumental Music, Music, Post-Production",524
https://www.coursera.org/learn/promotional-materials-every-musician-needs,Promotional Materials Every Musician Needs,University of Colorado Boulder,,,Intermediate level,1 week to complete,"Branding, Promotional Materials, Target Audience, Writing, Content Creation, Design, Presentations, Copywriting, Photo/Video Production and Technology, Marketing Materials, Music, Communication, Layout Design",
https://www.coursera.org/learn/modern-sound-editing,Modern Sound Editing,University of Colorado Boulder,,,Beginner level,2 weeks to complete,"Post-Production, Storytelling, Editing, Video Production, Music, Video Editing, Cinematography",
https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo,Create Amazing Macros in Affinity Photo,Skillshare,,,Beginner level,1 week to complete,"Photo Editing, Color Theory, Graphic and Visual Design, File Management, Typography, Image Quality, Automation",
https://www.coursera.org/learn/roman-architecture,Roman Architecture,Yale University,"81,261",4.9,Beginner level,4 weeks at 10 hours a week,"Architecture and Construction, Art History, Architectural Engineering, World History, Ancient History, Civil Engineering, Building Design, Design Elements And Principles, European History, Architectural Design, Case Studies",718
https://www.coursera.org/learn/religious-transformation-early-china-the-period-of-division,Religious Transformation in Early China: the Period of Division,The Chinese University of Hong Kong,"3,920",4.8,Intermediate level,2 weeks to complete,"Sociology, Liberal Arts, Culture, Art History, Cultural Diversity, World History, Anthropology, Storytelling, Ancient History",39
